,Name,Points,Assists,OffensiveRebounds,Position,Season
1216,Antoine Walker,0.6666666666666666,0.5714285714285714,0.25,PF,2003.0
1217,Antoine Walker,0.42857142857142855,0.5714285714285714,0.5,PF,2004.0
1218,Antoine Walker,0.5714285714285714,0.42857142857142855,0.5,PF,2005.0
1219,Antoine Walker,0.38095238095238093,0.2857142857142857,0.25,PF,2005.0
1221,Antoine Walker,0.3333333333333333,0.2857142857142857,0.25,PF,2006.0
1258,Antonio Davis,0.38095238095238093,0.14285714285714285,0.75,PF,2002.0
1289,Antonio McDyess,0.6190476190476191,0.14285714285714285,0.5,PF,2000.0
1290,Antonio McDyess,0.5714285714285714,0.14285714285714285,0.5,PF,2001.0
1298,Antonio McDyess,0.14285714285714285,0.14285714285714285,0.5,PF,2008.0
2169,Blake Griffin,0.8095238095238095,0.42857142857142855,0.75,PF,2011.0
2170,Blake Griffin,0.5238095238095238,0.2857142857142857,0.5,PF,2012.0
2171,Blake Griffin,0.5714285714285714,0.42857142857142855,0.5,PF,2013.0
2172,Blake Griffin,0.8571428571428571,0.42857142857142855,0.5,PF,2014.0
2173,Blake Griffin,0.5714285714285714,0.5714285714285714,0.25,PF,2015.0
2175,Blake Griffin,0.5238095238095238,0.42857142857142855,0.25,PF,2017.0
2202,Bo Outlaw,0.0,0.2857142857142857,0.5,PF,2000.0
2203,Bo Outlaw,0.09523809523809523,0.2857142857142857,0.5,PF,2001.0
2681,Boris Diaw,0.38095238095238093,0.8571428571428571,0.25,PF,2006.0
2682,Boris Diaw,0.14285714285714285,0.5714285714285714,0.25,PF,2007.0
2683,Boris Diaw,0.14285714285714285,0.42857142857142855,0.25,PF,2008.0
2684,Boris Diaw,0.38095238095238093,0.5714285714285714,0.25,PF,2009.0
2686,Boris Diaw,0.23809523809523808,0.42857142857142855,0.25,PF,2009.0
2687,Boris Diaw,0.2857142857142857,0.42857142857142855,0.25,PF,2010.0
2688,Boris Diaw,0.2857142857142857,0.5714285714285714,0.25,PF,2011.0
2768,Brad Miller,0.3333333333333333,0.42857142857142855,0.5,PF,2004.0
2825,Brandon Bass,0.14285714285714285,0.14285714285714285,0.25,PF,2013.0
2826,Brandon Bass,0.2857142857142857,0.14285714285714285,0.25,PF,2014.0
2981,Brian Grant,0.14285714285714285,0.14285714285714285,0.5,PF,2002.0
3476,Carl Landry,0.5238095238095238,0.0,0.5,PF,2010.0
3479,Carl Landry,0.2857142857142857,0.0,0.5,PF,2011.0
3519,Carlos Boozer,0.19047619047619047,0.14285714285714285,0.5,PF,2003.0
3520,Carlos Boozer,0.42857142857142855,0.14285714285714285,0.5,PF,2004.0
3523,Carlos Boozer,0.6190476190476191,0.2857142857142857,0.5,PF,2007.0
3524,Carlos Boozer,0.7142857142857143,0.2857142857142857,0.5,PF,2008.0
3526,Carlos Boozer,0.6190476190476191,0.42857142857142855,0.5,PF,2010.0
3529,Carlos Boozer,0.47619047619047616,0.2857142857142857,0.5,PF,2013.0
3530,Carlos Boozer,0.3333333333333333,0.14285714285714285,0.25,PF,2014.0
3568,Carmelo Anthony,0.8571428571428571,0.2857142857142857,0.25,PF,2013.0
3569,Carmelo Anthony,0.9523809523809523,0.2857142857142857,0.25,PF,2014.0
3697,Channing Frye,0.2857142857142857,0.14285714285714285,0.0,PF,2011.0
3699,Channing Frye,0.2857142857142857,0.14285714285714285,0.0,PF,2014.0
3793,Charles Oakley,0.047619047619047616,0.42857142857142855,0.25,PF,2000.0
3794,Charles Oakley,0.19047619047619047,0.42857142857142855,0.25,PF,2001.0
3892,Charlie Villanueva,0.3333333333333333,0.14285714285714285,0.5,PF,2006.0
3895,Charlie Villanueva,0.47619047619047616,0.14285714285714285,0.25,PF,2009.0
4018,Chris Bosh,0.5238095238095238,0.14285714285714285,0.5,PF,2005.0
4024,Chris Bosh,0.5714285714285714,0.14285714285714285,0.25,PF,2011.0
4025,Chris Bosh,0.3333333333333333,0.14285714285714285,0.25,PF,2012.0
4286,Chris Webber,0.8095238095238095,0.5714285714285714,0.5,PF,2000.0
